VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
2T3YL4DV0E,King,Bellevue,WA,98005,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,41,186450183,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604
5YJ3E1EB6K,King,Bothell,WA,98011,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,478093654,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102
5UX43EU02S,Thurston,Olympia,WA,98502,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,35,274800718,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
JTMAB3FV5R,Thurston,Olympia,WA,98513,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,2,260758165,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012332
5YJYGDEE8M,Yakima,Selah,WA,98942,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,236581355,POINT (-120.53145 46.65405),PACIFICORP,53077003200
3C3CFFGE1G,Thurston,Olympia,WA,98501,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,294762219,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
5YJ3E1EA4J,Snohomish,Marysville,WA,98271,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,39,270125096,POINT (-122.1677 48.11026),PUGET SOUND ENERGY INC,53061052808
5YJ3E1EA3K,King,Seattle,WA,98102,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,43,238776492,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600
1N4AZ0CP5E,Thurston,Yelm,WA,98597,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,2,257246118,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
5YJSA1S25F,Thurston,Yelm,WA,98597,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,2,161974606,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
5YJSA1E27G,Snohomish,Everett,WA,98208,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,21,136945966,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041701
1G1FX6S03H,Kitsap,Port Orchard,WA,98366,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,26,176855283,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092200
1N4AZ0CP0F,King,North Bend,WA,98045,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,5,173630845,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032705
5YJSA1E25F,Snohomish,Mukilteo,WA,98275,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,21,272673852,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042001
1N4AZ1CP4J,Snohomish,Bothell,WA,98012,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,1,325466319,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
7SAYGAEEXP,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,239956958,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051933
WBY1Z6C33H,Kitsap,Kingston,WA,98346,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,23,215241162,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035940000
1N4AZ0CP3D,King,Bellevue,WA,98008,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,48,146512131,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
WBY1Z4C58E,Kitsap,Poulsbo,WA,98370,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,23,143669452,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EB0J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,104823078,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067012730
1G1FX6S03J,Snohomish,Lake Stevens,WA,98258,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44,333426614,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
5YJSA1E25H,Kitsap,Port Orchard,WA,98367,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,113869640,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092901
5YJXCDE26J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,109898680,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
1N4AZ0CP1F,Thurston,Olympia,WA,98502,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,226741833,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
5YJ3E1EA4J,Thurston,Lacey,WA,98503,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,473922130,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011628
5YJ3E1EA5J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,39,235141224,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052105
5UXTA6C09P,King,Renton,WA,98057,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,11,235979348,POINT (-122.20489 47.47532),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025704
5YJ3E1EA1L,Thurston,Olympia,WA,98513,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,2,104932131,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EA6J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,475403085,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051922
KNDCD3LDXK,Thurston,Olympia,WA,98501,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,22,166396163,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
1N4BZ1CP3K,Kitsap,Bremerton,WA,98310,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,274258582,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400
3FMTK3SU1P,Yakima,Yakima,WA,98908,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,260501132,POINT (-120.60272 46.59656),PACIFICORP,53077000904
1N4BZ0CP7H,Kitsap,Kingston,WA,98346,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,23,204965267,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
1N4AZ1CP7J,King,Sammamish,WA,98075,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,41,196764998,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032213
5YJ3E1EA6K,King,Seatac,WA,98198,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,33,218112261,POINT (-122.32192 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028802
KNDCC3LGXK,King,Burien,WA,98146,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,34,3523768,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700
5YJ3E1EA3J,King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,326314649,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022606
KNDCC3LG6M,Thurston,Olympia,WA,98506,2021,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,272282552,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
1N4AZ1CP1K,King,Bellevue,WA,98007,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,41,477871159,POINT (-122.12056 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023401
KM8JBDD28R,Kitsap,Bremerton,WA,98337,2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,35,274038677,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
WA1VABGE3K,King,Seattle,WA,98144,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,37,244772055,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500
1C4RJXP67S,Snohomish,Edmonds,WA,98026,2025,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,21,276829122,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050200
JN1AZ0CP7C,Snohomish,Everett,WA,98204,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,21,239055477,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041901
1G1FZ6S07L,Skagit,Anacortes,WA,98221,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,40,123581125,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940201
1N4AZ0CP2D,Thurston,Olympia,WA,98506,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,114529264,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211
5YJ3E1EB4L,King,Seattle,WA,98106,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,34,263145599,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900
1N4BZ1CP3K,Spokane,Spokane,WA,99203,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,3,138475991,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004500
1FMCU0E13R,Kitsap,Bremerton,WA,98311,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,23,269820771,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091900
WBY1Z6C32H,Kitsap,Poulsbo,WA,98370,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,23,220928641,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EA7M,Snohomish,Bothell,WA,98021,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,197460658,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
5YJYGDEE0L,King,Seattle,WA,98108,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,37,127485886,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010001
1N4AZ0CP4E,Thurston,Olympia,WA,98502,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35,7083947,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011901
KNDC3DLC6R,Yakima,Wapato,WA,98951,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,275052214,POINT (-120.42083 46.44779),PACIFICORP,53077940007
1G1RA6E43D,Thurston,Olympia,WA,98502,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,8448723,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010510
1N4AZ0CP9F,Yakima,Yakima,WA,98903,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14,264913883,POINT (-120.4778 46.55351),PACIFICORP,53077002803
WMWXP3C05M,Snohomish,Everett,WA,98201,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,38,123225651,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040100
1N4AZ1CP3K,King,Duvall,WA,98019,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45,334762830,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
WBAJB1C58K,Thurston,Lacey,WA,98503,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,22,475113859,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011410
1FMCU0E15R,Thurston,Olympia,WA,98502,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,22,269184583,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5YJ3E1EA7J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,476233649,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052502
WA1E2AFY5M,Thurston,Olympia,WA,98502,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,22,269927080,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
1G1RC6E43F,Thurston,Olympia,WA,98501,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,115490966,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010300
5YJXCBE25G,Thurston,Olympia,WA,98513,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,2,245054981,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012320
5YJ3E1EA0J,Kitsap,Port Orchard,WA,98367,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,233773956,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092901
7SAYGDEE4P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,252829629,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051935
LPSED3KA7M,King,Burien,WA,98166,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,34,176320490,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027800
5YJ3E1EB1L,Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,39,263254666,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052301
5YJ3E1EB5N,Yakima,Union Gap,WA,98903,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,198844712,POINT (-120.4778 46.55351),PACIFICORP,53077001400
JTDKARFP9K,Kitsap,Poulsbo,WA,98370,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,340612723,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
JTMEB3FV4R,Walla Walla,Walla Walla,WA,99362,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,16,259935749,POINT (-118.34261 46.07068),PACIFICORP,53071920702
1G1FZ6S0XL,Ferry,Kettle Falls,WA,99141,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,7,103500155,POINT (-118.06211 48.61053),AVISTA CORP,53019970100
1FTZR0816Y,Thurston,Olympia,WA,98506,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,22,8166497,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJYGDEFXL,Thurston,Lacey,WA,98503,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,22,227488313,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011421
1G1RA6E46D,Thurston,Olympia,WA,98513,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,2,180215675,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012420
WA1M2BFZ4P,Snohomish,Bothell,WA,98012,2023,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,238074623,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051936
5YJ3E1EA0K,Snohomish,Everett,WA,98204,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,478003844,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041812
3C3CFFGEXH,Kitsap,Suquamish,WA,98392,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,111733625,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EB3K,Kitsap,Bainbridge Island,WA,98110,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,477951141,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035091002
5YJ3E1EB4J,Snohomish,Edmonds,WA,98020,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,475819270,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050403
5YJ3E1EB6L,King,Seattle,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,43,273489933,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302
5YJYGDEE1M,Yakima,Yakima,WA,98908,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,178930706,POINT (-120.60272 46.59656),PACIFICORP,53077000402
KNDCC3LG9L,King,Seattle,WA,98103,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,36,262814793,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002800
1N4AZ1CP3J,Snohomish,Bothell,WA,98021,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,1,280293891,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJXCAE2XJ,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,237837610,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051916
5YJSA1E44G,Thurston,Lacey,WA,98503,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,289256215,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011422
WMW13DJ07P,Thurston,Olympia,WA,98512,2023,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,213356664,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011901
1G1RB6E4XF,Snohomish,Monroe,WA,98272,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,39,160637802,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208
1G1FZ6S00L,Kitsap,Bremerton,WA,98310,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,23,109715182,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400
5YJYGDEE5L,Thurston,Olympia,WA,98502,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,22,111797045,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
7FCTGAAA7P,Kitsap,Kingston,WA,98346,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,272789380,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
5YJ3E1EA2J,Island,Freeland,WA,98249,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,476596963,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,53029971301
WBY1Z4C56F,Skagit,Bow,WA,98232,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,40,180481773,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,53057950802
WBAJB1C50J,Skagit,Mount Vernon,WA,98273,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,39,139603817,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952304
KNDCM3LD6L,Island,Coupeville,WA,98239,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,10,154056871,POINT (-122.68558 48.21857),PUGET SOUND ENERGY INC,53029971000
KNDC3DLC1N,Yakima,Yakima,WA,98902,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,215088814,POINT (-120.52401 46.59739),PACIFICORP,53077001202
1N4AZ0CP4F,King,Bothell,WA,98011,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,4038856,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
2C4RC1L7XJ,Thurston,Yelm,WA,98597,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,20,313162384,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012510
5YJYGDEF1L,Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,134941936,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052112
3C3CFFGE4H,Spokane,Spokane,WA,99203,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,6,253915385,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004400
